tipo_grafo,busca_BTSL_10%,busca_BTSL_25%,busca_BTSL_50%,busca_BTSL_75%,busca_BTSL_average,busca_BTDSATUR_10%,busca_BTDSATUR_25%,busca_BTDSATUR_50%,busca_BTDSATUR_75%,busca_BTDSATUR_average
1.0,0.0,0.0,0.0,0.0,0.0,0.0001593327522277832,0.0,0.0,0.0,3.98331880569458e-05
2.0,0.0,0.0,0.0,0.00018552303314208984,4.638075828552246e-05,3.4434795379638674e-05,3.663301467895508e-05,3.420591354370117e-05,1.1539459228515625e-05,2.9203295707702636e-05
3.0,8.594274520874024e-05,0.00010160446166992188,0.00012144804000854492,8.473634719848633e-05,9.843289852142334e-05,9.813308715820313e-05,7.786750793457032e-05,6.165504455566407e-05,8.65626335144043e-05,8.105456829071046e-05
4.0,0.00020555734634399413,0.00012423992156982422,0.00035223722457885745,0.00017368793487548828,0.00021393060684204103,0.00029540061950683594,0.00018409013748168945,0.00033360719680786133,0.00019771575927734374,0.0002527034282684326
5.0,0.0002688717842102051,0.0003850126266479492,0.0004167032241821289,0.0002887082099914551,0.0003398239612579345,0.00020569562911987305,0.00029135704040527343,0.0002686500549316406,0.0003132915496826172,0.0002697485685348511
6.0,0.0003174901008605957,0.00040767669677734377,0.00021427392959594727,0.0003577637672424316,0.00032430112361907964,0.00036605596542358396,0.0003353047370910644,0.00047674179077148435,0.000871422290802002,0.0005123811960220337
7.0,0.0006166481971740722,0.0006313705444335937,0.0005617022514343261,0.0007068324089050293,0.0006291383504867553,0.0005457091331481933,0.0005098652839660645,0.000402374267578125,0.0006075835227966308,0.0005163830518722535
8.0,0.00048535585403442383,0.0006415319442749024,0.0006110119819641113,0.0005972886085510254,0.0005837970972061157,0.000483396053314209,0.0004756069183349609,0.0006422042846679687,0.0009282612800598144,0.0006323671340942383
9.0,0.0006242656707763672,0.0007457423210144043,0.0009233832359313964,0.001024649143218994,0.0008295100927352905,0.0007998490333557129,0.0006092429161071777,0.0009786009788513184,0.0007859587669372559,0.0007934129238128662
10.0,0.0006227421760559082,0.0008543181419372559,0.0012461209297180175,0.0009698796272277832,0.0009232652187347412,0.0011511707305908202,0.0008555698394775391,0.000850844383239746,0.0007978487014770508,0.0009138584136962891
11.0,0.0010343170166015624,0.0010160470008850097,0.001484251022338867,0.0012702345848083496,0.0012012124061584473,0.0009993338584899903,0.0010571789741516114,0.0011731648445129394,0.0015063047409057616,0.0011839956045150758
12.0,0.001062626838684082,0.0012083840370178222,0.0016025710105895996,0.0018465781211853027,0.0014300400018692017,0.0017798972129821778,0.00139876127243042,0.001537325382232666,0.001677863597869873,0.001598461866378784
13.0,0.0014915823936462401,0.0018660712242126465,0.0019896507263183595,0.0022098422050476074,0.0018892866373062134,0.001409275531768799,0.001748201847076416,0.0017236781120300293,0.0019095945358276367,0.0016976875066757203
14.0,0.0015614867210388184,0.002241950035095215,0.0025618171691894533,0.002534017562866211,0.0022248178720474243,0.001343233585357666,0.0020725488662719726,0.002460200786590576,0.00258756160736084,0.0021158862113952637
15.0,0.0018015766143798827,0.0029688048362731933,0.0045919489860534665,0.005059747695922851,0.0036055195331573483,0.00237980842590332,0.0026213359832763673,0.0033086133003234863,0.0029572033882141113,0.002816740274429321
16.0,0.0018844962120056151,0.003229982852935791,0.004668004512786865,0.00533780574798584,0.003780072331428528,0.002770066261291504,0.0031497812271118163,0.005274569988250733,0.004258444309234619,0.003863215446472168
17.0,0.003099768161773682,0.00394503116607666,0.004868917465209961,0.006004452705383301,0.004479542374610901,0.0028967857360839844,0.003633439540863037,0.0058778977394104,0.006396067142486572,0.004701047539710998
18.0,0.003306581974029541,0.004074170589447022,0.00559079647064209,0.005705356597900391,0.0046692264080047605,0.002864570617675781,0.0036301183700561523,0.005549159049987793,0.006682579517364502,0.004681606888771058
19.0,0.004449093341827392,0.007114944458007813,0.008268725872039796,0.008632535934448243,0.00711632490158081,0.0031445717811584475,0.0042041754722595215,0.007345030307769776,0.008840847015380859,0.005883656144142151
20.0,0.004851765632629394,0.0061804866790771485,0.008020341396331787,0.007622747421264648,0.006668835282325744,0.003470566272735596,0.0075546646118164066,0.00857806921005249,0.008544633388519287,0.007036983370780945
21.0,0.005475103855133057,0.007186405658721924,0.011554014682769776,0.010552303791046143,0.008691956996917724,0.003772587776184082,0.004846596717834472,0.0070339226722717285,0.007514719963073731,0.005791956782341004
22.0,0.004946880340576172,0.007661082744598389,0.011317896842956542,0.012043282985687256,0.008992285728454591,0.004004673957824707,0.006023149490356445,0.009278059005737305,0.009878361225128173,0.0072960609197616575
23.0,0.006368298530578614,0.010282692909240722,0.011327919960021972,0.011533241271972656,0.00987803816795349,0.004126768112182617,0.0060883665084838865,0.009472408294677735,0.010761396884918213,0.007612234950065613
24.0,0.0062510442733764646,0.01041292905807495,0.01382202386856079,0.015815684795379637,0.01157542049884796,0.004749917984008789,0.007647578716278076,0.011648142337799072,0.015470945835113525,0.009879146218299866
25.0,0.009170734882354736,0.014002876281738281,0.02347455024719238,0.020352797508239748,0.016750239729881287,0.007393991947174073,0.009362699985504151,0.018011703491210937,0.017167320251464845,0.012983928918838502
26.0,0.008530790805816651,0.011904039382934571,0.025051519870758057,0.022596633434295653,0.017020745873451232,0.006063704490661621,0.01076998472213745,0.016426305770874023,0.017001092433929443,0.012565271854400633
27.0,0.007123861312866211,0.014576685428619385,0.026838247776031495,0.029707133769989014,0.019561482071876527,0.006683402061462403,0.010931937694549561,0.01825805187225342,0.026984784603118896,0.015714544057846072
28.0,0.008567755222320556,0.017372477054595947,0.033571069240570066,0.034029138088226316,0.02338510990142822,0.007306449413299561,0.012738029956817627,0.023513145446777343,0.02618772506713867,0.017436337471008298
29.0,0.009555191993713378,0.018663649559020997,0.042193191051483156,0.04259864091873169,0.028252668380737304,0.008092074394226075,0.014602816104888916,0.02894707679748535,0.03808318853378296,0.022431288957595826
30.0,0.011370291709899902,0.020777580738067628,0.04743852138519287,0.05727269887924194,0.03421477317810058,0.008250370025634765,0.015828795433044433,0.03013465166091919,0.04610780954360962,0.025080406665802
31.0,0.011902627944946289,0.0263584303855896,0.067129065990448,0.07887361526489257,0.04606593489646912,0.008804588317871094,0.01691283464431763,0.04322293043136596,0.05516998291015625,0.031027584075927733
32.0,0.013773458003997803,0.03075744390487671,0.10308557748794556,0.08689594268798828,0.05862810552120209,0.010798447132110596,0.017297430038452147,0.054610190391540525,0.07110948324203491,0.03845388770103454
33.0,0.01626478910446167,0.03101036310195923,0.1334274411201477,0.18179542541503907,0.09062450468540191,0.011160500049591064,0.02074101448059082,0.058362863063812255,0.10328763723373413,0.04838800370693207
34.0,0.01846902847290039,0.041579220294952396,0.21033622026443483,0.36304420709609986,0.1583571690320969,0.013694677352905273,0.02374959468841553,0.09135382652282714,0.15635643720626832,0.07128863394260405
35.0,0.021646182537078857,0.10400665283203125,0.4045455527305603,0.30883389234542846,0.2097580701112747,0.014646291732788086,0.02657320022583008,0.14775091648101807,0.1870296549797058,0.09400001585483551
36.0,0.0212351131439209,0.059527010917663575,0.4463891315460205,0.5708263802528382,0.27449440896511074,0.015223078727722168,0.027638072967529296,0.16583779335021973,0.23706241369247436,0.11144033968448638
37.0,0.02344040632247925,0.06157990455627441,0.5578732085227966,0.897600576877594,0.38512352406978606,0.017415211200714112,0.03039527893066406,0.21934412956237792,0.30422778367996217,0.14284560084342957
38.0,0.02894636392593384,0.07813027143478393,0.9524806857109069,1.1897834134101868,0.5623351836204528,0.02038297414779663,0.043892080783844,0.35597767114639284,0.5811132621765137,0.2503414970636368
39.0,0.02994466304779053,0.1061794662475586,1.0782027101516725,2.058605830669403,0.8182331675291061,0.020857269763946532,0.04535752296447754,0.7193921709060669,0.822969195842743,0.4021440398693085
40.0,0.03232882738113403,0.16625324487686158,2.177866749763489,2.4151593136787413,1.1979020339250563,0.021964082717895506,0.06040385484695435,0.6708944129943848,1.2384352350234986,0.4979243963956833
41.0,0.034787118434906006,0.3311116695404053,3.1902412128448487,4.009705336093902,1.8914613342285156,0.024600868225097657,0.09772750377655029,1.0033615517616272,2.0013155841827395,0.7817513769865037
42.0,0.03831738710403442,0.4074070334434509,5.082315061092377,6.837675635814667,3.0914287793636324,0.027031190395355224,0.093661208152771,2.3250659489631653,4.201046335697174,1.6617011708021163
43.0,0.04863893508911133,0.5788672471046448,13.249809679985047,10.225424132347108,6.025684998631478,0.025453581809997558,0.12823296308517457,2.7190433025360106,3.333560450077057,1.5515725743770599
44.0,0.04422388792037964,0.8348922514915467,19.575735645294188,15.891414256095887,9.0865665102005,0.031023876667022707,0.191231689453125,2.5689723443984986,8.735524020195008,2.881687982678414
45.0,0.058935492038726806,1.562427387237549,25.873817059993744,33.14835903406143,15.160884743332861,0.026732177734375,0.2705726933479309,4.223604774475097,9.078222210407256,3.399782963991165
46.0,0.16875602722167968,14.474190549850464,28.110331528186798,29.481926589012147,18.058801173567772,0.029997420310974122,0.20469566583633422,9.79499665260315,15.573766975402831,6.400864178538321
